DAE 31front
 0.6179780     0.1005770
 0.5887550     0.1053490
 0.5593660     0.1094340
 0.5298120     0.1128520
 0.5001230     0.1156210
 0.4703480     0.1177470
 0.4405570     0.1192350
 0.4108160     0.1200610
 0.3811540     0.1201980
 0.3516030     0.1196370
 0.3222200     0.1183560
 0.2930570     0.1163210
 0.2641620     0.1135010
 0.2356120     0.1098760
 0.2075250     0.1054140
 0.1800300     0.1000650
 0.1532930     0.0938100
 0.1275590     0.0866290
 0.1031340     0.0785080
 0.0803860     0.0694770
 0.0597550     0.0596450
 0.0417130     0.0491680
 0.0267210     0.0384030
 0.0151730     0.0279440
 0.0072690     0.0185710
 0.0025840     0.0107090
 0.0003580     0.0045180
 0.0000250    -0.0005580
 0.0001890    -0.0028000
 0.0011750    -0.0066640
 0.0029660    -0.0095960
 0.0056930    -0.0118730
 0.0099880    -0.0135950
 0.0172470    -0.0148380
 0.0297290    -0.0155350
 0.0490210    -0.0151930
 0.0742850    -0.0137560
 0.1029570    -0.0115230
 0.1333150    -0.0088200
 0.1645110    -0.0059080
 0.1961750    -0.0029260
 0.2281180     0.0000310
 0.2601680     0.0029020
 0.2921250     0.0056470
 0.3239930     0.0082440
 0.3557860     0.0106690
 0.3875040     0.0129110
 0.4191450     0.0149380
 0.4507170     0.0167290
 0.4664665     0.0174980
 0.4913132     0.0281690
 0.5060099     0.0359817
 0.5207066     0.0437945
 0.6179800     0.1005800
